,transaction_count,transaction_per_day,time_interval_mean(min),time_interval_median(min),time_interval_std(min),send_count,receive_count,send_value_mean(eth),receive_value_mean(eth),average_gas
0,0.00040008001600320064,0.0009000009000009001,0.0005547845441759237,0.0007714733757386902,0.0006529799415672043,0.0004,0.00020002000200020003,3.1247302478965683e-06,1.5831106752603165e-06,0.01424486950160338
1,0.0019003800760152032,6.9000069000069e-05,0.0001524207429935941,2.078982481041175e-06,0.0006880428943886173,0.0019,0.00020002000200020003,2.929434607403033e-07,1.1459041636071333e-07,0.016120140760001803
2,0.0005001000200040008,0.0006990006990006991,0.0007101481390833205,0.0007892159248577129,0.0009673673798262739,0.0006000000000000001,0.00010001000100010001,8.593008181715563e-06,1.7629294824725128e-06,0.01630243825947477
3,0.011602320464092819,6.6000066000066e-05,5.3275112710516315e-05,2.325802318973004e-06,0.00024363921024015095,0.011000000000000001,0.0008000800080008001,9.764782024676776e-08,2.542502422285658e-07,0.05097048693025519
4,0.011302260452090419,0.00010200010200010201,0.0014640118686926437,2.6599584072499415e-05,0.004174227337639367,0.0112,0.00030003000300030005,1.8553085846885874e-06,1.1870391848648254e-06,0.019460549782177424
5,0.011302260452090419,4.8000048000048e-05,0.00044184548218073263,8.970951801753014e-06,0.0013955906821963393,0.01,0.0015001500150015003,0.0,3.0211575637532165e-08,0.018452082386239636
6,0.00010002000400080016,0.0,1.3575091086250594e-06,1.3575091086250594e-06,1.8505902236430095e-06,0.0002,0.00010001000100010001,0.0,1.0577576894835077e-07,0.01916260896393901
7,0.0003000600120024005,0.00011400011400011402,2.1074616931102324e-06,2.5631290862151476e-06,1.99798236534909e-06,0.0004,0.00010001000100010001,9.764782024676776e-08,1.7629294824725127e-07,0.01848458581512051
8,0.0009001800360072013,6.3000063000063e-05,4.938295372774517e-05,9.49307068968573e-07,0.00021930312995401365,0.0009000000000000001,0.00020002000200020003,2.929434607403033e-07,2.8206871719560204e-08,0.016237475080730524
9,0.027705541108221644,0.000108000108000108,0.00032916273309416304,2.2090375494898694e-05,0.0010313847000406147,0.020300000000000002,0.007600760076007601,7.616529979247885e-06,6.03163986250606e-06,0.020243040661140587
10,0.10002000400080016,0.00042300042300042303,3.469717337080134e-05,4.623125425876951e-06,0.00012544708949650842,0.096,0.0042004200420042,9.764782024676776e-08,5.0302442612360495e-08,0.02862974273401884
11,0.001300260052010402,3.0000030000030005e-05,0.0034971523113733263,1.0936017434517961e-05,0.009771476672737039,0.001,0.0005000500050005,1.9529564049353552e-07,5.993960240406543e-09,0.015882520664933175
12,0.004400880176035207,0.00018300018300018302,9.981963830204546e-05,3.939624336219579e-06,0.00032118385368218327,0.0043,0.00030003000300030005,1.9529564049353552e-07,2.5767982185623257e-07,0.020733618426280565
13,0.00010002000400080016,1.5000015000015002e-05,0.03759644259706757,0.03759644259706757,0.0638299356715186,0.0002,0.00010001000100010001,7.811825619741421e-07,5.686605473057941e-07,0.018985396950075166
14,0.0014002800560112022,1.2000012000012e-05,0.011542767047649224,2.973229740009571e-05,0.03309810093413864,0.0012000000000000001,0.00040004000400040005,6.54240395653344e-06,5.339031937668005e-06,0.018095474407636866
15,0.004500900180036007,3.3000033000033e-05,0.002842927851722944,1.8634897763853087e-05,0.009684105886514603,0.0034000000000000002,0.0013001300130013002,1.122949932837829e-05,1.004009362497003e-05,0.01752029038559618
16,0.07851570314062813,0.000207000207000207,2.3087147917315696e-05,3.218150963803463e-06,9.287342617946467e-05,0.0721,0.006600660066006601,3.8082649896239427e-06,6.967637500360181e-06,0.05081880842205088
17,0.028305661132226444,0.0004110004110004111,5.574331108983461e-05,6.645149482780011e-06,0.00020137041937977386,0.0274,0.0011001100110011,1.0741260227144454e-06,6.295134048776543e-07,0.03453754824620477
18,0.0011002200440088019,2.1000021000021003e-05,0.003294712578915778,0.0003441617847838665,0.009303916045436084,0.001,0.00030003000300030005,0.0,2.949968667337338e-08,0.019670677055658583
19,0.01170234046809362,0.000282000282000282,5.3142209720860714e-05,6.996393098298383e-06,0.00022071154375253845,0.0102,0.0017001700170017002,9.764782024676776e-08,1.3909834884680873e-07,0.04255100687467177
20,0.0034006801360272057,9.6000096000096e-05,0.00044703819184799075,5.553446353466152e-06,0.001530356230429599,0.0029000000000000002,0.0007000700070007,3.9059128098707104e-07,4.807778779499258e-07,0.02715794704000246
21,0.08381676335267053,0.000354000354000354,2.154927046558661e-06,7.974179379336013e-07,5.912062572877225e-06,0.0824,0.0016001600160016002,1.9529564049353552e-07,8.359965779642681e-07,0.11194032397912854
22,0.014502900580116024,5.1000051000051004e-05,0.0001808904619919616,1.1799886867279363e-05,0.0007108559225437918,0.012,0.0027002700270027003,0.0,4.376233566854409e-09,0.01729510633079624
23,0.01210242048409682,9.6000096000096e-05,0.00016972661086089117,1.812227194661006e-05,0.0005982974569942485,0.0066,0.005700570057005701,3.1149654658718914e-05,1.2982656192705337e-05,0.01680303723920156
24,0.00640128025605121,2.1000021000021003e-05,0.0009641827107393106,4.252895668979208e-06,0.003987055694577279,0.0056,0.001000100010001,3.739911515451205e-05,5.7082633406455616e-05,0.03405850798154487
25,0.0014002800560112022,9.000009000009e-05,0.0001264002362331655,2.0552498043169605e-05,0.0005468739764434604,0.0014,0.00020002000200020003,0.0,6.93215957824773e-08,0.047220062970791565
26,0.0003000600120024005,0.000213000213000213,1.0385419334516188e-05,1.2037213634521506e-05,6.026700905315288e-06,0.0004,0.00010001000100010001,1.9529564049353552e-07,2.1275032994478285e-07,0.013722449732704693
27,0.002800560112022404,3.9000039000039003e-05,0.0003424815112717921,8.501044802613571e-05,0.000856151820456719,0.0025,0.0005000500050005,3.222378068143336e-06,5.798164116122186e-06,0.021807204997453672
28,1.0,0.009837009837009837,2.4112399551801754e-06,1.2530853310385165e-06,5.453509243124976e-06,0.9213,0.0817081708170817,5.272982293325459e-06,1.279222278398582e-05,0.05523543723616899
29,0.014602920584116824,0.0009240009240009241,2.5783179993186443e-05,1.7182457948331173e-06,0.00011924024264021906,0.0131,0.0017001700170017002,1.4647173037015164e-06,4.901734226561642e-07,0.024960193595389348
30,0.005001000200040008,9.3000093000093e-05,0.0014706760043168032,0.00015595216529015719,0.004147483852372031,0.0046,0.0006000600060006001,1.9529564049353552e-07,2.362001656367237e-07,0.023769784371978252
31,0.00040008001600320064,0.0,3.911145124150521e-06,2.914372701733519e-06,4.585533297522502e-06,0.00030000000000000003,0.00030003000300030005,0.0,4.489593748696666e-09,0.01462924485561792
32,0.1963392678535707,0.00165000165000165,8.932979518994273e-06,1.7562180775918603e-06,2.9642197387556175e-05,0.1937,0.0029002900290029006,6.835347417273744e-07,3.8097310742928155e-06,0.07640926528055048
33,0.00010002000400080016,0.0,5.990127605191695e-06,5.990127605191695e-06,5.0604635319087605e-06,0.0002,0.00010001000100010001,0.0,2.489256429251188e-08,0.019239359237549054
34,0.02510502100420084,0.00016200016200016202,0.0002935827041492209,1.0328460910378076e-05,0.0010769616256370617,0.0219,0.0034003400340034003,9.764782024676776e-08,6.606818431765219e-08,0.02541139160632177
35,0.0003000600120024005,0.000213000213000213,6.872983179332469e-06,1.6802735120743742e-06,1.3330800372083274e-05,0.0004,0.00010001000100010001,6.835347417273744e-07,1.0577576894835076e-06,0.016290151975837518
